Source,Word
Baroni et.al 2011,card
Baroni et.al 2011,sleep
Baroni et.al 2011,parent
Baroni et.al 2011,address
"Wijaya et.al 2011, Kim, Jatowt",gay
Wijaya et.al 2011,mouse
Wijaya et.al 2011,king
"Kim et.al, 2014",checked
"Kim et.al, 2014",check
"Kim et.al, 2014",actually
"Kim et.al, 2014",supposed
"Kim et.al, 2014",guess
"Kim et.al, 2014",cell
"Kim et.al, 2014",headed
"Kim et.al, 2014",ass
"Kim et.al, 2014",mail
"Historical Linguistics, Jatowt",toilet
Historical Linguistics,cock
Historical Linguistics,bloody
Jatowt and Duh,nice
Jatowt and Duh,guy
